"search-number","evaluation","sun-brightness*","albedo*","cloud_counter_on_start*","co2_counter_on_start*","fitness","num-replicates","best-fitness-so-far"
"1","10","3.4000000000000004","0","0","100","11.999999999999998","10","11.999999999999998"
"1","20","2.4000000000000004","0.05","20","100","11.999999999999998","10","11.999999999999998"
"1","30","0.8","0.35000000000000003","19","0","11.999999999999998","10","11.999999999999998"
"1","40","2.4000000000000004","0.25","10","100","11.999999999999998","10","11.999999999999998"
"1","50","5","0.15000000000000002","4","200","11.999999999999998","10","11.999999999999998"
"1","60","2","0.9500000000000001","1","0","11.999999999999998","10","11.999999999999998"
"1","70","4.4","0.6000000000000001","7","0","11.999999999999998","10","11.999999999999998"
"1","80","0.8","0.5","8","150","11.999999999999998","10","11.999999999999998"
"1","90","0.4","0.30000000000000004","1","75","11.999999999999998","10","11.999999999999998"
"1","100","4","0.35000000000000003","15","50","11.999999999999998","10","11.999999999999998"
"1","110","1.8","0.8","20","75","11.999999999999998","10","11.999999999999998"
"1","120","0.8","0.7000000000000001","0","200","11.999999999999998","10","11.999999999999998"
"1","130","4.4","0.2","18","25","11.999999999999998","10","11.999999999999998"
"1","140","3.4000000000000004","0.75","0","175","11.999999999999998","10","11.999999999999998"
"1","150","1.6","0","6","0","11.999999999999998","10","11.999999999999998"
"1","160","2.8000000000000003","0.8500000000000001","18","25","11.999999999999998","10","11.999999999999998"
"1","170","0","0.30000000000000004","9","100","11.999999999999998","10","11.999999999999998"
"1","180","1.8","0.75","6","25","11.999999999999998","10","11.999999999999998"
"1","190","0.4","0.30000000000000004","2","0","11.999999999999998","10","11.999999999999998"
"1","200","4.6000000000000005","0.8500000000000001","17","150","11.999999999999998","10","11.999999999999998"
"1","210","4.4","0.65","18","200","11.999999999999998","10","11.999999999999998"
"1","220","2.2","0.8","10","175","11.999999999999998","10","11.999999999999998"
"1","230","4.4","0.25","3","125","11.999999999999998","10","11.999999999999998"
"1","240","4.4","0.9","5","200","11.999999999999998","10","11.999999999999998"
"1","250","4.4","0.55","10","0","11.999999999999998","10","11.999999999999998"
"1","260","0.4","0.55","13","200","11.999999999999998","10","11.999999999999998"
"1","270","1.6","0.45","19","75","11.999999999999998","10","11.999999999999998"
"1","280","3.2","0.75","7","125","11.999999999999998","10","11.999999999999998"
"1","290","4.800000000000001","0.75","13","75","11.999999999999998","10","11.999999999999998"
"1","300","0.8","0.9500000000000001","16","125","11.999999999999998","10","11.999999999999998"
"1","310","1.8","0.65","6","50","11.999999999999998","10","11.999999999999998"
"1","320","3.8000000000000003","0.8","2","50","11.999999999999998","10","11.999999999999998"
"1","330","3.2","0","4","200","11.999999999999998","10","11.999999999999998"
"1","340","0.6000000000000001","0.35000000000000003","4","0","11.999999999999998","10","11.999999999999998"
"1","350","0","0","11","25","11.999999999999998","10","11.999999999999998"
"1","360","4.2","0.30000000000000004","10","125","11.999999999999998","10","11.999999999999998"
"1","370","2","0.55","14","50","11.999999999999998","10","11.999999999999998"
"1","380","4.800000000000001","0.2","6","200","11.999999999999998","10","11.999999999999998"
"1","390","2.6","0.5","0","75","11.999999999999998","10","11.999999999999998"
"1","400","0.2","0.4","6","25","11.999999999999998","10","11.999999999999998"
"1","410","3","0.55","6","75","11.999999999999998","10","11.999999999999998"
"1","420","4.2","0.1","7","50","11.999999999999998","10","11.999999999999998"
"1","430","4.800000000000001","0.55","10","125","11.999999999999998","10","11.999999999999998"
"1","440","3.4000000000000004","0.65","14","125","11.999999999999998","10","11.999999999999998"
"1","450","4.4","0.15000000000000002","4","100","11.999999999999998","10","11.999999999999998"
"1","460","1.8","0.30000000000000004","0","125","11.999999999999998","10","11.999999999999998"
"1","470","0.8","0.8500000000000001","11","75","11.999999999999998","10","11.999999999999998"
"1","480","3.4000000000000004","0.05","19","25","11.999999999999998","10","11.999999999999998"
"1","490","4","0.35000000000000003","11","100","11.999999999999998","10","11.999999999999998"
"1","500","2.2","0.2","14","150","11.999999999999998","10","11.999999999999998"
